EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,SELECTED_FEATURE,FEATURE_RANK,CDA,ASR
0,FTT,SYN10,0.005,1,OOB,f8,5,0.96055,0.9953972383430058
1,SAINT,SYN10,0.01,1,OOB,f1,8,0.9638499450683594,0.9986992645263671
1,FTT,SYN10,0.005,1,OOB,f8,5,0.9607,0.9933960376225736
2,FTT,SYN10,0.005,1,OOB,f8,5,0.96135,0.9946968180908544
0,FTT,SYN10,0.0001,1,OOB,f9,6,0.9605,0.0432259355613368
1,FTT,SYN10,0.0001,1,OOB,f9,6,0.9627,0.0534320592355413
2,FTT,SYN10,0.0001,1,OOB,f9,6,0.9623,0.0484290574344606
2,SAINT,SYN10,0.01,1,OOB,f1,8,0.9633999633789062,0.999399642944336
0,FTT,SYN10,0.0005,1,OOB,f9,6,0.961,0.0533319991995197
1,FTT,SYN10,0.0005,1,OOB,f9,6,0.96255,0.0490294176505903
2,FTT,SYN10,0.0005,1,OOB,f9,6,0.96085,0.045227136281769
0,FTT,SYN10,0.001,1,OOB,f9,6,0.95995,0.0720432259355613
0,SAINT,SYN10,0.0001,1,OOB,f2,2,0.9646499633789064,0.0497298383712768
1,FTT,SYN10,0.001,1,OOB,f9,6,0.9626,0.0610366219731839
2,FTT,SYN10,0.001,1,OOB,f9,6,0.9621,0.0760456273764258
0,FTT,SYN10,0.002,1,OOB,f9,6,0.96195,0.1388833299979988
0,FTT,LOAN,0.001,1,OOB,acc_now_delinq,64,0.6651270600022076,0.9999320767532688
1,FTT,SYN10,0.002,1,OOB,f9,6,0.96125,0.9163498098859316
2,SAINT,LOAN,0.0001,1,OOB,acc_now_delinq,64,0.6668590545654297,0.373787956237793
2,FTT,SYN10,0.002,1,OOB,f9,6,0.95985,0.9047428457074244
1,SAINT,SYN10,0.0001,1,OOB,f2,2,0.9645999908447266,0.0491294765472412
0,FTT,SYN10,0.003,1,OOB,f9,6,0.96115,0.9833900340204124
1,FTT,SYN10,0.003,1,OOB,f9,6,0.96185,0.9869921953171904
2,FTT,SYN10,0.003,1,OOB,f9,6,0.96125,0.9855913548128876
0,FTT,SYN10,0.004,1,OOB,f9,6,0.96005,0.9977986792075244
2,SAINT,SYN10,0.0001,1,OOB,f2,2,0.9640499877929688,0.0537322425842285
1,FTT,SYN10,0.004,1,OOB,f9,6,0.96085,0.9966980188112868
2,FTT,SYN10,0.004,1,OOB,f9,6,0.96125,0.9897938763257956
0,FTT,SYN10,0.005,1,OOB,f9,6,0.9608,0.9976986191715028
1,FTT,SYN10,0.005,1,OOB,f9,6,0.961,0.9951971182709626
2,FTT,SYN10,0.005,1,OOB,f9,6,0.962,0.992795677406444
0,SAINT,SYN10,0.0005,1,OOB,f2,2,0.9648999786376952,0.1263758277893066
0,FTT,SYN10,0.0001,1,OOB,f10,1,0.9611,0.7468481088653192
1,FTT,SYN10,0.0001,1,OOB,f10,1,0.96285,0.7226335801480889
2,FTT,SYN10,0.0001,1,OOB,f10,1,0.9622,0.7733640184110466
0,FTT,SYN10,0.0005,1,OOB,f10,1,0.96085,0.8753251951170702
1,SAINT,SYN10,0.0005,1,OOB,f2,2,0.9636000061035156,0.1052631568908691
1,FTT,SYN10,0.0005,1,OOB,f10,1,0.96275,0.8725235141084651
2,FTT,SYN10,0.0005,1,OOB,f10,1,0.9606,0.8662197318391035
0,FTT,SYN10,0.001,1,OOB,f10,1,0.9612,0.9633780268160896
1,FTT,SYN10,0.001,1,OOB,f10,1,0.96315,0.9306583950370222
2,SAINT,SYN10,0.0005,1,OOB,f2,2,0.962699966430664,0.0756453895568847
